entidad_txt,legislatura,legentidad,periodo,year1,year2,year3,year4,year5,presidentas_org_directivos_pct,mujeres_org_directivos_pct,presidentas_cduras,presidentes_cduras,presidencias_cduras,presidentas_duras_pct,mujeres_cduras_promedio,presidentas_cblandas,presidentes_cblandas,presidencias_cblandas,presidentas_cblandas_pct,mujeres_cblandas_promedio,unidad,estudios,lenguaje,descriptiva,hombres_mr,mujeres_mr,hombres_rp,mujeres_rap,hombres_tot,mujeres_tot,curules,informal,law_name,law_publication_year,ifreg,yr_first_gender_law,age_first_gender_law,state_gpd,state_gpd_rescaled,state_gpd_rescaled_lag_1,state_gpd_rescaled_lag_2,state_gpd_rescaled_lag_3,party_alternation,population,state_gpd_per_capita,state_gpd_per_capita_rescaled,year_info_inegi,percent_urban_pop,percent_pop_high_edu,avg_yr_school,entidad,prop_od_presidentas,prop_od_integrantes,duras_presidentas,duras_integrantes,blandas_presidentas,blandas_integrantes,prop_comisiones_presidentas ,prop_comisiones_integrantes
Michoacán,Michoacán 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,50,41.81000137,5,17,22,22.72699928,38.15100098,7,7,14,50,37.36100006,0,1,1,40,14,10,10,6,24,16,40,2,C√≥digo Electoral del Estado de Michoac√°n,2014,4,2001,17,424359.9688,0.021795329,0.021257255,0.020535665,0.019625589,1,4757482,89198.4375,0.030281793,2020,71.10133362,13.30000019,8.600000381,Michoacán,0.5,0.418099999,0.227269992,0.381510019,0.5,0.37360999,0.396551724,0.378243021
Morelos,Morelos 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,75,46.15000153,6,7,13,46.15399933,71.51999664,10,3,13,76.92299652,72.82099915,0,0,,70,6,6,0,8,6,14,20,,C√≥digo Electoral del Estado Libre y Soberano de Morelos,2014,4,2005,13,201316.4531,0.009166781,0.009275606,0.008775861,0.008382942,1,2000527,100631.7109,0.038707502,2020,81.85343933,18.10000038,9.840000153,Morelos,0.75,0.461500019,0.461539984,0.715199947,0.769229949,0.728209972,0.615384615,0.721700735
Nayarit,Nayarit 2 (2017-2021),Leg. 2,2017-2021,2017,2018,2019,2020,2021,0,28.12000084,4,9,13,30.7689991,34.20100021,7,4,11,63.63600159,46.86899948,0,0,1,36.66699982,12,6,7,5,19,11,30,1,Ley Electoral del Estado de Nayarit,2016,4.5,2004,13,121000.1172,0.004619334,0.004532884,0.00422656,0.003939146,1,1233716,98077.77344,0.036825385,2015,69.31916809,18.70000076,9.159999847,Nayarit,0,0.281200022,0.307689995,0.342009991,0.63635999,0.468690008,0.458333333,0.40007215
Nuevo León,Nuevo León 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,25,55,18,11,20,90,44.43000031,9,5,14,64.28600311,67.33000183,0,0,1,52.38100052,14,12,6,10,20,22,42,1,Ley Electoral para el Estado de Nuevo Le√≥n,2014,4,2008,10,1353170,0.074383818,0.071744181,0.068975464,0.06730146,1,5454848,248067.4063,0.147359759,2020,95.88385773,24.20000076,10.73999977,Nuevo León,0.25,0.550000012,0.899999976,0.444299996,0.642860055,0.673300028,0.846153846,0.523566516
Oaxaca,Oaxaca 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,25,46.15000153,12,11,23,52.17399979,52.32799911,13,8,21,61.90499878,64.13400269,0,1,1,54.76200104,13,12,6,11,19,23,42,2,NA,2015,5,1997,21,260740.4219,0.012531319,0.011952569,0.012295779,0.0125241,1,4096998,63641.82031,0.011447928,2020,49.45546341,11.60000038,8.119999886,Oaxaca,0.25,0.461500019,0.521740019,0.523279965,0.619049966,0.641340017,0.583333333,0.582308201
Puebla,Puebla 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,68.41999817,48.13999939,4,12,16,25,39.03900146,15,8,23,65.21700287,59.82699966,0,0,1,46.51200104,13,13,10,7,23,20,43,1,C√≥digo de Instituciones y Procesos Electorales del Estado de Puebla,2015,5,2000,18,603843.6875,0.031957556,0.031121662,0.029209564,0.028376982,1,6478819,93202.74219,0.033232749,2020,73.48458862,16.5,9.159999847,Puebla,0.684199989,0.481399983,0.25,0.390390009,0.652170002,0.598269999,0.471428571,0.515117502
Querétaro,Querétaro 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,28.56999969,47.81999969,6,8,14,42.85699844,39.39400101,9,8,17,52.94100189,58.92900085,0,0,0,52,7,8,5,5,12,13,25,0,Ley Electoral del Estado de Quer√©taro,2014,4,2002,16,406744.7188,0.020797968,0.020139208,0.019167513,0.018288275,1,2197938,185057.4219,0.100924753,2020,78.94811249,21.20000076,10.47999954,Querétaro,0.285699993,0.478199989,0.428569973,0.393940002,0.529410005,0.589290023,0.513333333,0.503333333
Quintana Roo,Quintana Roo 2 (2019-2021),Leg. 2,2019-2022,2019,2020,2021,2022,,0,41.59999847,4,7,11,36.36399841,45.66699982,11,4,15,73.33300018,57.5870018,0,1,1,52,6,9,6,4,12,13,25,2,Ley Electoral de Quintana Roo,2015,3,2004,15,290271.7188,0.014203359,0.0139917,0.013180816,0.01257419,1,1684541,172315.0313,0.091534287,2020,90.27295685,18.60000038,10.23999977,Quintana Roo,0,0.415999979,0.363639981,0.456669986,0.733330011,0.575870037,0.6,0.528190476
San Luis Potosí,San Luis Potosí 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,40,48.38000107,9,8,17,52.94100189,55.17200089,8,3,11,72.72699738,47.25600052,0,0,0,48.14799881,8,7,6,6,14,13,27,0,Ley Electoral del Estado de San Luis Potos√≠,2014,4,1999,19,369840.9375,0.018708505,0.017849986,0.017135855,0.01641647,1,2825157,130909.875,0.061020896,2020,67.20887756,16.70000076,9.609999657,San Luis Potosí,0.400000006,0.483800024,0.529410005,0.551720023,0.727269948,0.472560018,0.603174603,0.517795805
Sinaloa,Sinaloa 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,60,55.16999817,11,10,21,52.38100052,43.44499969,11,10,21,52.38100052,44.0019989,0,0,1,45,14,10,8,8,22,18,40,1,Ley de Instituciones y Procedimientos Electorales del Estado de Sinaloa,2015,4.5,1998,20,390894.9688,0.019900568,0.019339623,0.019082047,0.018086111,1,3104610,125907.9141,0.057334717,2020,75.72762299,23,10.22000027,Sinaloa,0.600000024,0.551699996,0.523810029,0.434450001,0.523810029,0.440019995,0.555555556,0.437337662
