entidad_txt,legislatura,legentidad,periodo,year1,year2,year3,year4,year5,presidentas_org_directivos_pct,mujeres_org_directivos_pct,presidentas_cduras,presidentes_cduras,presidencias_cduras,presidentas_duras_pct,mujeres_cduras_promedio,presidentas_cblandas,presidentes_cblandas,presidencias_cblandas,presidentas_cblandas_pct,mujeres_cblandas_promedio,unidad,estudios,lenguaje,descriptiva,hombres_mr,mujeres_mr,hombres_rp,mujeres_rap,hombres_tot,mujeres_tot,curules,informal,law_name,law_publication_year,ifreg,yr_first_gender_law,age_first_gender_law,state_gpd,state_gpd_rescaled,state_gpd_rescaled_lag_1,state_gpd_rescaled_lag_2,state_gpd_rescaled_lag_3,party_alternation,population,state_gpd_per_capita,state_gpd_per_capita_rescaled,year_info_inegi,percent_urban_pop,percent_pop_high_edu,avg_yr_school,entidad,od_presidentas,od_integrantes,duras_presidentas,duras_integrantes,blandas_presidentas,blandas_integrantes,_est_od01,_est_od02,_est_dur01,_est_dur02,_est_blan01,_est_blan02,_est_unidad,_est_estudios,_est_lenguaje
Michoacán,Michoacán 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,50,41.810001,5,17,22,22.726999,38.151001,7,7,14,50,37.361,0,1,1,40,14,10,10,6,24,16,40,2,C√≥digo Electoral del Estado de Michoac√°n,2014,4,2001,17,424359.97,.021795329,.021257255,.020535665,.019625589,1,4757482,89198.438,.030281793,2020,71.101334,13.3,8.6000004,Michoacán,.5,.4181,.22726999,.38151002,.5,.37360999,1,1,1,1,1,1,1,1,1
Morelos,Morelos 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,60,52.630001,1,13,14,7.1430001,11.378,4,9,13,30.768999,23.169001,0,0,,20,15,3,9,3,24,6,30,,C√≥digo Electoral del Estado Libre y Soberano de Morelos,2014,4,2005,10,187472.39,.0083829416,.0082804644,.0080802413,.0077174078,1,1930505,97110.547,.036112595,2015,82.640244,18.1,9.3000002,Morelos,.60000002,.52630001,.071429998,.11378,.30768999,.23169,1,1,1,1,1,1,1,1,0
Morelos,Morelos 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,75,46.150002,6,7,13,46.153999,71.519997,10,3,13,76.922997,72.820999,0,0,,70,6,6,0,8,6,14,20,,C√≥digo Electoral del Estado Libre y Soberano de Morelos,2014,4,2005,13,201316.45,.0091667809,.0092756059,.008775861,.0083829416,1,2000527,100631.71,.038707502,2020,81.853439,18.1,9.8400002,Morelos,.75,.46150002,.46153998,.71519995,.76922995,.72820997,1,1,1,1,1,1,1,1,0
Nayarit,Nayarit 1 (2014-2017),Leg. 1,2014-2017,2014,2015,2016,2017,,0,20,5,8,13,38.462002,41.398998,6,5,11,54.544998,53.507,0,0,1,50,10,8,5,7,15,15,30,1,Ley Electoral del Estado de Nayarit,2013,2,2004,10,108986.73,.0039391462,.003635708,.0034756321,.0034701929,1,1176131,92665.469,.03283681,2015,69.319168,18.700001,9.1599998,Nayarit,0,.2,.38462001,.41398999,.54544997,.53507,1,1,1,1,1,1,1,1,1
Nayarit,Nayarit 2 (2017-2021),Leg. 2,2017-2021,2017,2018,2019,2020,2021,0,28.120001,4,9,13,30.768999,34.201,7,4,11,63.636002,46.868999,0,0,1,36.667,12,6,7,5,19,11,30,1,Ley Electoral del Estado de Nayarit,2016,4.5,2004,13,121000.12,.0046193339,.0045328839,.0042265598,.0039391462,1,1233716,98077.773,.036825385,2015,69.319168,18.700001,9.1599998,Nayarit,0,.28120002,.30768999,.34200999,.63635999,.46869001,1,1,1,1,1,1,1,1,1
Nuevo León,Nuevo León 1 (2015-2018),Leg. 1,2015-2018,2015,2016,2017,2018,,33.330002,53.330002,8,16,24,33.333,37.338001,5,8,13,38.462002,49.944,0,0,0,38.095001,16,10,10,6,26,16,42,0,Ley Electoral para el Estado de Nuevo Le√≥n,2014,4,2008,7,1228082.5,.06730146,.063512854,.061465006,.060831886,1,5205425,235923.58,.1384104,2015,93.834969,24.200001,10.27,Nuevo León,.33330002,.53330004,.33333001,.37338001,.38462001,.49944001,1,1,1,1,1,1,1,1,1
Nuevo León,Nuevo León 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,25,55,18,11,20,90,44.43,9,5,14,64.286003,67.330002,0,0,1,52.381001,14,12,6,10,20,22,42,1,Ley Electoral para el Estado de Nuevo Le√≥n,2014,4,2008,10,1353170,.074383818,.071744181,.068975464,.06730146,1,5454848,248067.41,.14735976,2020,95.883858,24.200001,10.74,Nuevo León,.25,.55000001,.89999998,.4443,.64286005,.67330003,1,1,1,1,1,1,1,1,1
Oaxaca,Oaxaca 1 (2016-2018),Leg. 1,2016-2018,2016,2017,2018,,,50,16.66,8,11,19,42.105,39.648998,12,8,20,60,52.782001,0,1,1,42.856998,14,11,10,7,24,18,42,2,NA,2015,5,1997,19,256580.34,.012295779,.0125241,.011936743,.011669323,1,4046494,63408.063,.011275658,2015,48.418316,11.6,7.52,Oaxaca,.5,.1666,.42104998,.39648998,.60000002,.52781999,1,1,1,1,1,1,1,1,1
Oaxaca,Oaxaca 2 (2018-2021),Leg. 2,2018-2021,2018,2019,2020,2021,,25,46.150002,12,11,23,52.174,52.327999,13,8,21,61.904999,64.134003,0,1,1,54.762001,13,12,6,11,19,23,42,2,NA,2015,5,1997,21,260740.42,.012531319,.011952569,.012295779,.0125241,1,4096998,63641.82,.011447928,2020,49.455463,11.6,8.1199999,Oaxaca,.25,.46150002,.52174002,.52327996,.61904997,.64134002,1,1,1,1,1,1,1,1,1
Puebla,Puebla 1 (2014-2018),Leg. 1,2014-2018,2014,2015,2016,2017,2018,40,33.869999,5,17,22,22.726999,17.1,9,20,29,31.034,32.556999,0,0,0,29.268,18,8,11,4,29,12,41,0,C√≥digo de Instituciones y Procesos Electorales del Estado de Puebla,2013,3.5,2000,14,526200.69,.027561469,.027168296,.027449667,.025701672,1,6198759,84888.07,.027105277,2015,72.059074,16.5,8.4899998,Puebla,.40000001,.3387,.22726999,.171,.31034002,.32556999,1,1,1,1,1,1,1,1,1
